type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk%  	B_Risk%   	SO_Risk%  	O_Risk%   	SB_VaR    	B_VaR     	SO_VaR    	O_VaR     	T_VaR     	SB_CVaR   	B_CVaR    	SO_CVaR   	O_CVaR    	ST_CVaR   	T_CVaR    
tm        	0.03-0.04 	35208.2612	0.03      	303.4814  	5106.90467225	5106.90467225	28.373    	28.37514803	0.0       	0         	-10034.86824472	-10040.56211444	-2368.72509178	-2368.0563931	-12408.61850754	-10746.91607293	-10750.52723513	-2490.03705068	-2489.13141918	-13236.95312361	-13239.6586543
tm        	0.03-0.05 	34841.5084	0.03      	379.3517  	5106.90467225	5106.90467225	28.325    	28.24156572	0.0       	0         	-10000.83939112	-10012.36767012	-2506.12649574	-2504.78365569	-12517.15132581	-10810.08766191	-10794.86198678	-2627.92482122	-2628.24194302	-13438.01248313	-13423.1039298
tm        	0.03-0.06 	34474.7557	0.03      	455.2221  	5106.90467225	5106.90467225	27.855    	28.10798342	0.0       	0         	-10027.27657714	-9984.31374428	-2640.17220913	-2641.67207204	-12625.98581632	-10898.17294858	-10850.16594205	-2765.35968399	-2767.45857604	-13663.53263258	-13617.62451808
tm        	0.03-0.07 	34108.003 	0.03      	531.0924  	5106.90467225	5106.90467225	27.973    	27.97440112	0.0       	0         	-9970.00028577	-9965.23029415	-2772.02717456	-2778.71125863	-12743.94155278	-10920.05528037	-10916.26733503	-2898.07777091	-2906.7747331	-13818.13305128	-13823.04206814
tm        	0.03-0.08 	33741.2503	0.03      	606.9628  	5106.90467225	5106.90467225	27.975    	27.84081882	0.0       	0         	-9956.18269672	-9959.2284705	-2923.12854095	-2915.89192688	-12875.12039738	-10992.73835501	-10992.03741883	-3054.50102317	-3046.1844972	-14047.23937819	-14038.22191602
tm        	0.03-0.09 	33374.4976	0.03      	682.8331  	5106.90467225	5106.90467225	27.909    	27.70723652	0.0       	0         	-9975.85759488	-9964.85772663	-3051.83358309	-3053.20572535	-13018.06345198	-11055.86739811	-11076.26430572	-3183.6460789	-3185.68252679	-14239.51347701	-14261.94683251
tm        	0.03-0.1  	33007.7448	0.03      	758.7035  	5106.90467225	5106.90467225	27.309    	27.57365422	0.0       	0         	-9972.54570468	-9980.86448684	-3191.09838252	-3190.64511052	-13171.50959736	-11186.98160567	-11167.95197811	-3324.44795711	-3325.2639793	-14511.42956278	-14493.2159574
tm        	0.03-0.11 	32640.9921	0.03      	834.5738  	5106.90467225	5106.90467225	27.358    	27.44007192	0.0       	0         	-9969.69232035	-10006.17558316	-3328.28659069	-3328.20274885	-13334.37833201	-11240.9965678	-11266.27522503	-3467.14379164	-3464.92442268	-14708.14035944	-14731.19964771
tm        	0.03-0.12 	32274.2394	0.03      	910.4442  	5106.90467225	5106.90467225	27.413    	27.30648962	0.0       	0         	-10053.48796186	-10039.87326184	-3477.18906208	-3465.81247039	-13505.68573224	-11373.4490274	-11370.54406423	-3614.96217629	-3604.65683407	-14988.41120369	-14975.2008983
tm        	0.03-0.13 	31907.4867	0.03      	986.3145  	5106.90467225	5106.90467225	27.172    	27.17290732	0.0       	0         	-10099.80793791	-10081.17039667	-3620.16316432	-3603.4303011	-13684.60069777	-11487.72553079	-11480.17621489	-3762.01146001	-3744.45539543	-15249.7369908	-15224.63161032
tm        	0.03-0.14 	31540.734 	0.03      	1062.1848 	5106.90467225	5106.90467225	27.05     	27.03932502	0.0       	0         	-10127.27609912	-10129.38868655	-3746.09453254	-3741.05526535	-13870.4439519	-11582.01803749	-11594.67588766	-3885.62749333	-3884.31369503	-15467.64553082	-15478.98958269
tm        	0.03-0.15 	31173.9812	0.03      	1138.0552 	5106.90467225	5106.90467225	27.048    	26.90574272	0.0       	0         	-10169.56560531	-10183.94037139	-3897.38130137	-3878.68652582	-14062.62689722	-11690.06396819	-11713.61738886	-4043.48223829	-4024.22767093	-15733.54620648	-15737.84505979
tm        	0.03-0.16 	30807.2285	0.03      	1213.9255 	5106.90467225	5106.90467225	26.756    	26.77216042	0.0       	0         	-10267.68846612	-10244.31320531	-4021.19406608	-4016.32336092	-14260.63656623	-11889.41419994	-11836.63235991	-4168.12226433	-4164.19191696	-16057.53646427	-16000.82427687
tm        	0.03-0.17 	30440.4758	0.03      	1289.7959 	5106.90467225	5106.90467225	26.788    	26.63857812	0.0       	0         	-10275.91516476	-10310.05820001	-4153.2404211	-4153.96514632	-14464.02334633	-11942.51677892	-11963.39976276	-4302.32762527	-4304.20324291	-16244.84440419	-16267.60300567
tm        	0.03-0.18 	30073.7231	0.03      	1365.6662 	5106.90467225	5106.90467225	26.415    	26.50499582	0.0       	0         	-10391.80790465	-10380.77963936	-4286.96777538	-4291.61133989	-14672.39097925	-12099.80213773	-12093.63794976	-4440.82867383	-4444.257623	-16540.63081156	-16537.89557275
tm        	0.03-0.19 	29706.9704	0.03      	1441.5366 	5106.90467225	5106.90467225	26.15     	26.37141352	0.0       	0         	-10469.44226067	-10456.12692635	-4430.70000706	-4429.26146921	-14885.38839556	-12271.00290745	-12227.09832741	-4583.48434937	-4584.35169375	-16854.48725682	-16811.45002117
tm        	0.03-0.2  	29340.2176	0.03      	1517.4069 	5106.90467225	5106.90467225	26.434    	26.23783122	0.0       	0         	-10574.59630232	-10535.78789918	-4591.7949289	-4566.91512123	-15102.70302041	-12393.50270318	-12363.56024892	-4745.77003047	-4724.48339299	-17139.27273365	-17088.04364191
