type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_CVaR    	O_CVaR    	T_CVaR    
tm        	11805.8204	0.7792    	1192.5782 	5106.90467225	5106.90467225	0         	24.44650785	-2623.68811388	-9058.27398443	-11681.96209831
tm        	11802.1416	0.7793    	1192.8117 	5106.90467225	5106.90467225	0         	24.45029863	-2622.63221071	-9059.39798548	-11682.03019619
tm        	11798.4633	0.7794    	1193.0451 	5106.90467225	5106.90467225	0         	24.45408818	-2621.57649212	-9060.52185073	-11682.09834285
tm        	11794.7939	0.7795    	1193.2767 	5106.90467225	5106.90467225	0         	24.45787276	-2620.5229453	-9061.64359302	-11682.16653832
tm        	11791.1169	0.7796    	1193.5098 	5106.90467225	5106.90467225	0         	24.46165985	-2619.46759557	-9062.76718704	-11682.23478261
tm        	11787.4404	0.7797    	1193.7429 	5106.90467225	5106.90467225	0         	24.4654457	-2618.41243045	-9063.8906453	-11682.30307575
tm        	11783.7644	0.7798    	1193.9758 	5106.90467225	5106.90467225	0         	24.46923033	-2617.35744995	-9065.01396781	-11682.37141776
tm        	11780.089 	0.7799    	1194.2086 	5106.90467225	5106.90467225	0         	24.47301373	-2616.30265409	-9066.13715457	-11682.43980866
tm        	11776.4142	0.78      	1194.4413 	5106.90467225	5106.90467225	0         	24.4767959	-2615.24804288	-9067.26020559	-11682.50824847
tm        	11772.74  	0.7801    	1194.6739 	5106.90467225	5106.90467225	0         	24.48057685	-2614.19361632	-9068.38312089	-11682.57673721
tm        	11769.0581	0.7802    	1194.908  	5106.90467225	5106.90467225	0         	24.4843603	-2613.13738971	-9069.5078852	-11682.64527491
tm        	11765.3933	0.7803    	1195.1386 	5106.90467225	5106.90467225	0         	24.48813505	-2612.0853172	-9070.62854438	-11682.71386158
tm        	11761.7125	0.7804    	1195.3726 	5106.90467225	5106.90467225	0         	24.49191604	-2611.02946065	-9071.75303659	-11682.78249724
tm        	11758.0323	0.7805    	1195.6064 	5106.90467225	5106.90467225	0         	24.49569581	-2609.97378949	-9072.87739243	-11682.85118192
tm        	11754.361 	0.7806    	1195.8383 	5106.90467225	5106.90467225	0         	24.49947061	-2608.92028705	-9073.99962859	-11682.91991564
tm        	11750.6902	0.7807    	1196.0702 	5106.90467225	5106.90467225	0         	24.50324419	-2607.86696932	-9075.1217291	-11682.98869842
tm        	11747.0117	0.7808    	1196.3036 	5106.90467225	5106.90467225	0         	24.50702027	-2606.8118537	-9076.24567658	-11683.05753027
tm        	11743.3338	0.7809    	1196.537  	5106.90467225	5106.90467225	0         	24.51079513	-2605.75692351	-9077.36948772	-11683.12641123
tm        	11739.6565	0.781     	1196.7702 	5106.90467225	5106.90467225	0         	24.51456876	-2604.70217877	-9078.49316254	-11683.19534131
tm        	11735.9797	0.7811    	1197.0033 	5106.90467225	5106.90467225	0         	24.51834117	-2603.64761948	-9079.61670106	-11683.26432054
tm        	11732.3036	0.7812    	1197.2362 	5106.90467225	5106.90467225	0         	24.52211235	-2602.59324566	-9080.74010328	-11683.33334893
tm        	11728.628 	0.7813    	1197.4691 	5106.90467225	5106.90467225	0         	24.5258823	-2601.5390573	-9081.86336921	-11683.40242651
tm        	11724.9571	0.7814    	1197.701  	5106.90467225	5106.90467225	0         	24.52964917	-2600.48604468	-9082.98550861	-11683.47155329
tm        	11721.2785	0.7815    	1197.9344 	5106.90467225	5106.90467225	0         	24.53341854	-2599.43123705	-9084.10949226	-11683.54072931
tm        	11717.6046	0.7816    	1198.1669 	5106.90467225	5106.90467225	0         	24.53718482	-2598.37760518	-9085.2323494	-11683.60995458
tm        	11713.9313	0.7817    	1198.3993 	5106.90467225	5106.90467225	0         	24.54094988	-2597.32415882	-9086.3550703	-11683.67922912
tm        	11710.2586	0.7818    	1198.6316 	5106.90467225	5106.90467225	0         	24.54471372	-2596.27089798	-9087.47765498	-11683.74855295
tm        	11706.5864	0.7819    	1198.8637 	5106.90467225	5106.90467225	0         	24.54847634	-2595.21782268	-9088.60010343	-11683.81792611
tm        	11702.9066	0.782     	1199.0974 	5106.90467225	5106.90467225	0         	24.55224145	-2594.1629545	-9089.72439409	-11683.8873486
tm        	11699.2295	0.7821    	1199.3306 	5106.90467225	5106.90467225	0         	24.55600441	-2593.1087671	-9090.84805334	-11683.95682044
tm        	11695.557 	0.7822    	1199.5628 	5106.90467225	5106.90467225	0         	24.55976429	-2592.05575465	-9091.97058703	-11684.02634168
tm        	11691.8871	0.7823    	1199.7945 	5106.90467225	5106.90467225	0         	24.56352202	-2591.00342228	-9093.09249003	-11684.09591231
tm        	11688.2014	0.7824    	1200.0295 	5106.90467225	5106.90467225	0         	24.56728595	-2589.94732148	-9094.21821089	-11684.16553237
tm        	11684.5327	0.7825    	1200.2609 	5106.90467225	5106.90467225	0         	24.57104124	-2588.89536099	-9095.33984088	-11684.23520187
tm        	11680.8563	0.7826    	1200.4939 	5106.90467225	5106.90467225	0         	24.57479902	-2587.8416098	-9096.46331104	-11684.30492084
tm        	11677.1805	0.7827    	1200.7268 	5106.90467225	5106.90467225	0         	24.57855558	-2586.78804492	-9097.58664438	-11684.37468931
tm        	11673.5053	0.7828    	1200.9595 	5106.90467225	5106.90467225	0         	24.58231093	-2585.73466638	-9098.70984091	-11684.44450728
tm        	11669.8307	0.7829    	1201.1922 	5106.90467225	5106.90467225	0         	24.58606505	-2584.68147416	-9099.83290063	-11684.51437479
tm        	11666.1567	0.783     	1201.4247 	5106.90467225	5106.90467225	0         	24.58981795	-2583.6284683	-9100.95582356	-11684.58429186
