time      	proj_id   	c_fixed   	c_low     	c_high    	d_low     	d_high    	disc_rate 	b_t_enpv  	o_income  	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
2025-10-07 00:50:32	001       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	37261.0882	0         	0         	5000.0    	37431.28795637	30.00163871	37.79353069	-10440.15611825	-13288.59275258	-23728.74887083
2025-10-07 00:50:32	001       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	9794.0516 	0.875     	1066.3219 	5000.0    	37431.28795637	0         	41.57260084	-1945.19458428	-17635.8179187	-19581.01250298
2025-10-07 00:52:20	010       	-5000     	-80000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	57261.0882	0         	0         	5000.0    	25498.88847049	40.12739126	29.47343052	-21106.79653645	-9052.43615776	-30159.23269421
2025-10-07 00:52:20	010       	-5000     	-80000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	24578.3901	0.7183    	0         	5000.0    	25498.88847049	14.95858156	39.43036497	-6434.71667742	-16407.81334043	-22842.53001784
2025-10-07 00:52:20	010       	-5000     	-80000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	57261.0882	0         	0         	5000.0    	25498.88847049	40.12739126	29.47343052	-21106.79653645	-9052.43615776	-30159.23269421
2025-10-07 00:52:20	010       	-5000     	-80000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	22067.8315	0.75      	220.9909  	5000.0    	25498.88847049	9.97080311	40.12552052	-5678.47160048	-17164.05841737	-22842.53001785
2025-10-07 00:52:18	009       	-5000     	-60000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	47261.0882	0         	0         	5000.0    	31465.08821343	36.78074423	34.49698786	-15592.48388805	-11170.51445517	-26762.99834323
2025-10-07 00:52:18	009       	-5000     	-60000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	20322.5191	0.7588    	0         	5000.0    	31465.08821343	4.9790971 	38.20349605	-4996.60992072	-15721.86416271	-20718.47408344
2025-10-07 00:52:18	009       	-5000     	-60000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	47261.0882	0         	0         	5000.0    	31465.08821343	36.78074423	34.49698786	-15592.48388805	-11170.51445517	-26762.99834323
2025-10-07 00:52:18	009       	-5000     	-60000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	10745.9012	0.875     	1128.0005 	5000.0    	31465.08821343	0         	41.28584406	-2206.43579282	-18512.03829062	-20718.47408344
2025-10-07 00:52:16	008       	-5000     	-20000    	-1000     	1         	10        	0.1       	5000      	100000    	ls        	27261.0882	0         	0         	5000.0    	43397.4876993	10.39932856	40.12395038	-5814.85730356	-15406.67104998	-21221.52835355
2025-10-07 00:52:16	008       	-5000     	-20000    	-1000     	1         	10        	0.1       	5000      	100000    	cp        	14663.8496	0.8127    	0         	5000.0    	43397.4876993	0         	40.33330402	-3642.89851938	-15809.26285511	-19452.16137449
2025-10-07 00:52:16	008       	-5000     	-20000    	-1000     	1         	10        	0.1       	5000      	100000    	lh        	27261.0882	0         	0         	5000.0    	43397.4876993	10.39932856	40.12395038	-5814.85730356	-15406.67104998	-21221.52835355
2025-10-07 00:52:16	008       	-5000     	-20000    	-1000     	1         	10        	0.1       	5000      	100000    	tm        	9046.2588 	0.875     	962.4301  	5000.0    	43397.4876993	0         	42.33116187	-1865.03030956	-17587.13106493	-19452.16137449
2025-10-16 17:11:30	024       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	150000    	ls        	37261.0882	0         	0         	5000.0    	67262.28667106	30.00163871	45.1423624	-10440.15611825	-23878.98423963	-34319.14035788
2025-10-16 17:11:30	024       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	150000    	cp        	15061.5242	0.8706    	0         	5000.0    	67262.28667106	0         	45.56514061	-3770.30533257	-25359.9471071	-29130.25243967
2025-10-16 17:11:30	024       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	150000    	lh        	37261.0882	0         	0         	5000.0    	67262.28667106	30.00163871	45.1423624	-10440.15611825	-23878.98423963	-34319.14035788
2025-10-16 17:11:30	024       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	150000    	tm        	14486.4031	0.875     	95.6125   	5000.0    	67262.28667106	0         	45.66257267	-3588.95770427	-25541.2947354	-29130.25243967
2025-10-16 17:11:28	023       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	75000     	ls        	37261.0882	0         	0         	5000.0    	22515.78859902	30.00163871	25.82344155	-10440.15611825	-7993.39700906	-18433.55312731
2025-10-16 17:11:28	023       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	75000     	cp        	19603.4296	0.6925    	0         	5000.0    	22515.78859902	2.93580869	28.84630097	-4650.41964123	-10470.78847531	-15121.20811654
