type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.03-0.37 	23105.4214	0.03      	2807.2028 	5106.90467225	5106.90467225	23.96693212	23.52064359	-12357.53011676	-6907.33316709	-19264.86328385	-15007.6296621	-7110.52952221	-22118.15918431
tm        	0.03-0.38 	22738.6687	0.03      	2883.0732 	5106.90467225	5106.90467225	23.83334982	24.41222308	-12484.78255117	-7045.01484808	-19529.79739925	-15177.06561819	-7251.03726377	-22428.10288196
tm        	0.03-0.39 	22371.9159	0.03      	2958.9435 	5106.90467225	5106.90467225	23.69976752	25.25808053	-12613.71362782	-7182.69713168	-19796.4107595	-15347.66146286	-7391.55699647	-22739.21845933
tm        	0.03-0.4  	22005.1632	0.03      	3034.8139 	5106.90467225	5106.90467225	23.5672805	26.06164512	-12744.26295736	-7320.37997154	-20064.64292891	-15519.37533705	-7532.08798192	-23051.46331896
tm        	0.03-0.41 	21638.4105	0.03      	3110.6842 	5106.90467225	5106.90467225	23.45373263	26.82601143	-12876.37367043	-7458.06332538	-20334.43699581	-15692.1678326	-7672.6289545	-23364.7967871
tm        	0.03-0.42 	21271.6578	0.03      	3186.5545 	5106.90467225	5106.90467225	23.36275324	27.55397935	-13009.99213824	-7595.74715455	-20605.73929278	-15866.0017966	-7813.17961587	-23679.18141248
tm        	0.03-0.43 	20904.9051	0.03      	3262.4249 	5106.90467225	5106.90467225	23.29143228	28.24808829	-13145.06772088	-7733.43142364	-20878.49914452	-16040.84215518	-7953.73971959	-23994.58187477
tm        	0.03-0.44 	20538.1523	0.03      	3338.2952 	5106.90467225	5106.90467225	23.23738284	28.91064683	-13281.55254017	-7871.11610024	-21152.66864041	-16216.65575464	-8094.30902981	-24310.96478444
tm        	0.03-0.45 	20171.3996	0.03      	3414.1656 	5106.90467225	5106.90467225	23.19862013	29.54375832	-13419.40127401	-8008.80115463	-21428.20242864	-16393.41121781	-8234.88732064	-24628.29853844
tm        	0.03-0.46 	19804.6469	0.03      	3490.0359 	5106.90467225	5106.90467225	23.1734745	30.14934323	-13558.57097007	-8146.48655948	-21705.05752955	-16571.0788139	-8375.47428367	-24946.55309758
tm        	0.03-0.47 	19437.8942	0.03      	3565.9063 	5106.90467225	5106.90467225	23.16052729	30.72915856	-13699.02087646	-8284.17228969	-21983.19316615	-16749.63034034	-8516.06884718	-25265.69918751
tm        	0.03-0.48 	19071.1415	0.03      	3641.7766 	5106.90467225	5106.90467225	23.15856256	31.28481492	-13840.71228761	-8421.85832215	-22262.57060977	-16929.03901519	-8656.67061934	-25585.70963453
tm        	0.03-0.49 	18704.3887	0.03      	3717.647  	5106.90467225	5106.90467225	23.16653016	31.81779143	-13983.60840368	-8559.54463558	-22543.15303926	-17109.27937927	-8797.27943338	-25906.55881264
tm        	0.03-0.5  	18337.636 	0.03      	3793.5173 	5106.90467225	5106.90467225	23.18351689	32.32944888	-14127.67420213	-8697.23121034	-22824.90541247	-17290.32720653	-8937.89512903	-26228.22233556
tm        	0.03-0.51 	17970.8833	0.03      	3869.3877 	5106.90467225	5106.90467225	23.20872379	32.82104133	-14272.8763202	-8834.91802832	-23107.79434852	-17472.15942228	-9078.51755223	-26550.67697451
tm        	0.03-0.52 	17604.1306	0.03      	3945.258  	5106.90467225	5106.90467225	23.24144799	33.29372638	-14419.18294711	-8972.60507278	-23391.78801988	-17654.75402811	-9219.14655477	-26873.90058287
tm        	0.03-0.53 	17237.3779	0.03      	4021.1284 	5106.90467225	5106.90467225	23.28106808	33.74857426	-14566.56372512	-9110.29232823	-23676.85605336	-17838.09003305	-9359.78199393	-27197.87202698
tm        	0.03-0.54 	16870.6251	0.03      	4096.9987 	5106.90467225	5106.90467225	23.32703213	34.18657592	-14714.98965855	-9247.97978037	-23962.96943892	-18022.14739023	-9500.42356537	-27522.5709556
tm        	0.03-0.55 	16503.8724	0.03      	4172.869  	5106.90467225	5106.90467225	23.37884787	34.60865025	-14864.43302989	-9385.6674159	-24250.10044579	-18206.90693861	-9641.07044305	-27847.97738166
tm        	0.03-0.56 	16137.1197	0.03      	4248.7394 	5106.90467225	5106.90467225	23.43607455	35.01565049	-15014.86732248	-9523.35522255	-24538.22254503	-18392.3503492	-9781.72243901	-28174.07278821
tm        	0.03-0.57 	15770.367 	0.03      	4324.6097 	5106.90467225	5106.90467225	23.49831614	35.40837003	-15166.26714915	-9661.0431889	-24827.31033805	-18578.46007544	-9922.37944776	-28500.8395232
tm        	0.03-0.58 	15403.6143	0.03      	4400.4801 	5106.90467225	5106.90467225	23.56521561	35.78754751	-15318.60818604	-9798.73130435	-25117.33949039	-18765.21930728	-10063.0413675	-28828.26067477
tm        	0.03-0.59 	15036.8615	0.03      	4476.3504 	5106.90467225	5106.90467225	23.63645007	36.15387152	-15471.8671115	-9936.41955906	-25408.28667057	-18952.6119287	-10203.70809992	-29156.32002863
tm        	0.03-0.6  	14670.1088	0.03      	4552.2208 	5106.90467225	5106.90467225	23.7117267	36.50798472	-15626.02154932	-10074.1079439	-25700.12949322	-19140.62247829	-10344.37955009	-29485.00202838
tm        	0.03-0.61 	14303.3561	0.03      	4628.0911 	5106.90467225	5106.90467225	23.79077922	36.85048766	-15781.05001598	-10211.79645033	-25992.84646631	-19329.23611266	-10485.05562622	-29814.29173889
tm        	0.03-0.62 	13936.6034	0.03      	4703.9615 	5106.90467225	5106.90467225	23.87336483	37.18194212	-15936.93187175	-10349.48507044	-26286.41694219	-19518.43857249	-10625.73623957	-30144.17481206
tm        	0.03-0.63 	13569.8507	0.03      	4779.8318 	5106.90467225	5106.90467225	23.95926168	37.50287421	-16093.64727505	-10487.17379684	-26580.82107189	-19708.21615084	-10766.42130426	-30474.6374551
tm        	0.03-0.64 	13203.0979	0.03      	4855.7022 	5106.90467225	5106.90467225	24.04826652	37.81377717	-16251.17713999	-10624.86262264	-26876.03976263	-19898.55566372	-10907.11048572	-30805.66614945
tm        	0.03-0.65 	12836.3452	0.03      	4931.5725 	5106.90467225	5106.90467225	24.14019283	38.11511389	-16409.50309674	-10762.55154145	-27172.05463819	-20089.44442264	-11047.80323359	-31137.24765623
tm        	0.03-0.66 	12469.5925	0.03      	5007.4429 	5106.90467225	5106.90467225	24.23486903	38.4073192	-16568.60745458	-10900.24054725	-27468.84800182	-20280.87020888	-11188.49947112	-31469.36968001
tm        	0.03-0.67 	12102.8398	0.03      	5083.3132 	5106.90467225	5106.90467225	24.332137 	38.69080195	-16728.47316727	-11037.92963444	-27766.40280171	-20472.8212496	-11329.1991351	-31802.0203847
tm        	0.03-0.68 	11736.0871	0.03      	5159.1835 	5106.90467225	5106.90467225	24.43185077	38.96594698	-16889.08380075	-11175.61879782	-28064.70259856	-20665.28619538	-11469.90216422	-32135.18835961
tm        	0.03-0.69 	11369.3343	0.03      	5235.0539 	5106.90467225	5106.90467225	24.53387535	39.23311679	-17050.42350281	-11313.30803247	-28363.73153528	-20858.25409922	-11610.60849908	-32468.86259831
tm        	0.03-0.7  	11002.5816	0.03      	5310.9242 	5106.90467225	5106.90467225	24.63808567	39.49265318	-17212.47697474	-11450.99733385	-28663.47430859	-21051.71439689	-11751.31808204	-32803.03247893
tm        	0.03-0.71 	10635.8289	0.03      	5386.7946 	5106.90467225	5106.90467225	24.74436571	39.74487868	-17375.22944463	-11588.68669766	-28963.91614229	-21245.65688844	-11892.03085716	-33137.6877456
tm        	0.03-0.72 	10269.0762	0.03      	5462.6649 	5106.90467225	5106.90467225	24.85260764	39.99009792	-17538.66664242	-11726.37611991	-29265.04276233	-21440.0717209	-12032.74677015	-33472.81849106
tm        	0.03-0.73 	9902.3235 	0.03      	5538.5353 	5106.90467225	5106.90467225	24.96271114	40.22859883	-17702.77477631	-11864.06559684	-29566.84037315	-21634.94937199	-12173.46576829	-33808.41514028
tm        	0.03-0.74 	9535.5707 	0.03      	5614.4056 	5106.90467225	5106.90467225	25.07458271	40.46065376	-17867.54051075	-12001.75512494	-29869.29563568	-21830.28063478	-12314.18780034	-34144.46843511
tm        	0.03-0.75 	9168.818  	0.03      	5690.276  	5106.90467225	5106.90467225	25.1881351	40.68652056	-18032.95094549	-12139.4447009	-30172.3956464	-22026.05660329	-12454.91281652	-34480.96941981
tm        	0.03-0.76 	8802.0653 	0.03      	5766.1463 	5106.90467225	5106.90467225	25.30328681	40.9064435	-18198.99359607	-12277.13432165	-30476.12791773	-22222.26865892	-12595.64075191	-34817.90941084
tm        	0.03-0.77 	8435.3126 	0.03      	5842.0167 	5106.90467225	5106.90467225	25.41996158	41.12065416	-18365.6563753	-12414.82398428	-30780.48035958	-22418.90845764	-12736.3711768	-35155.27963444
tm        	0.03-0.78 	8068.5598 	0.03      	5917.887  	5106.90467225	5106.90467225	25.53808802	41.32937223	-18532.92757575	-12552.51368607	-31085.44126181	-22615.96791787	-12877.10389148	-35493.07180935
tm        	0.03-0.79 	7701.8071 	0.03      	5993.7574 	5106.90467225	5106.90467225	25.65759916	41.5328063	-18700.79585333	-12690.20342445	-31390.99927778	-22813.43920914	-13017.83885971	-35831.27806885
tm        	0.03-0.8  	7335.0544 	0.03      	6069.6277 	5106.90467225	5106.90467225	25.77843215	41.73115452	-18869.25021172	-12827.89319704	-31697.14340876	-23011.31474127	-13158.57604626	-36169.89078753
tm        	0.03-0.81 	6968.3017 	0.03      	6145.498  	5106.90467225	5106.90467225	25.90052796	41.92460526	-19038.27998761	-12965.58300157	-32003.86298918	-23209.58715418	-13299.31541681	-36508.90257099
tm        	0.03-0.82 	6601.549  	0.03      	6221.3684 	5106.90467225	5106.90467225	26.02383103	42.11333768	-19207.87483678	-13103.27283592	-32311.1476727	-23408.24930828	-13440.05693797	-36848.30624624
tm        	0.03-0.83 	6234.7962 	0.03      	6297.2387 	5106.90467225	5106.90467225	26.14828906	42.29752233	-19378.0247209	-13240.9626981	-32618.987419	-23607.29427529	-13580.80057718	-37188.09485247
tm        	0.03-0.84 	5868.0435 	0.03      	6373.1091 	5106.90467225	5106.90467225	26.27385278	42.47732164	-19548.71989504	-13378.65258623	-32927.37248128	-23806.71532965	-13721.54630276	-37528.26163241
tm        	0.03-0.85 	5501.2908 	0.03      	6448.9794 	5106.90467225	5106.90467225	26.4004757	42.65289037	-19719.95089581	-13516.34249856	-33236.29339437	-24006.50594027	-13862.2940838	-37868.80002407
tm        	0.03-0.86 	5134.5381 	0.03      	6524.8498 	5106.90467225	5106.90467225	26.52811393	42.82437611	-19891.70853012	-13654.0324334	-33545.74096352	-24206.65976279	-14003.0438902	-38209.70365299
tm        	0.03-0.87 	4767.7854 	0.03      	6600.7201 	5106.90467225	5106.90467225	26.65672599	42.99191965	-20063.98386447	-13791.72238921	-33855.70625368	-24407.17063217	-14143.79569257	-38550.96632474
tm        	0.03-0.88 	4401.0326 	0.03      	6676.5905 	5106.90467225	5106.90467225	26.78627267	43.15565538	-20236.76821487	-13929.41236451	-34166.18057937	-24608.03255569	-14284.54946229	-38892.58201797
tm        	0.03-0.89 	4034.2799 	0.03      	6752.4608 	5106.90467225	5106.90467225	26.91671683	43.31571166	-20410.05313716	-14067.10235791	-34477.15549507	-24809.23970628	-14425.30517138	-39234.54487766
tm        	0.03-0.9  	3667.5272 	0.03      	6828.3312 	5106.90467225	5106.90467225	27.04802333	43.47221112	-20583.83041788	-14204.79236811	-34788.62278598	-25010.7864162	-14566.06279259	-39576.84920879
tm        	0.03-0.91 	3300.7745 	0.03      	6904.2015 	5106.90467225	5106.90467225	27.18015882	43.62527105	-20758.09206548	-14342.48239387	-35100.57445935	-25212.66717099	-14706.82229929	-39919.48947028
tm        	0.03-0.92 	2934.0218 	0.03      	6980.0719 	5106.90467225	5106.90467225	27.31309168	43.77500358	-20932.83030214	-14480.17243403	-35413.00273617	-25414.87660375	-14847.58366547	-40262.46026922
tm        	0.03-0.93 	2567.269  	0.03      	7055.9422 	5106.90467225	5106.90467225	27.44679189	43.92151605	-21108.03755573	-14617.86248751	-35725.90004324	-25617.40948965	-14988.346826	-40605.75631566
tm        	0.03-0.94 	2200.5163 	0.03      	7131.8126 	5106.90467225	5106.90467225	27.58123093	44.06491124	-21283.70645237	-14755.55255328	-36039.25900565	-25820.26074078	-15129.1114524	-40949.37219318
tm        	0.03-0.95 	1833.7636 	0.03      	7207.6829 	5106.90467225	5106.90467225	27.7163817	44.20528759	-21459.82980923	-14893.24263034	-36353.07243957	-26023.42540108	-15269.87746143	-41293.30286252
tm        	0.03-0.96 	1467.0109 	0.03      	7283.5532 	5106.90467225	5106.90467225	27.8522184	44.34273943	-21636.40062765	-15030.93271779	-36667.33334544	-26226.89864174	-15410.6448346	-41637.54347633
tm        	0.03-0.97 	1100.2582 	0.03      	7359.4236 	5106.90467225	5106.90467225	27.98871648	44.4773572	-21813.41208662	-15168.62281477	-36982.03490139	-26430.67575654	-15551.41355381	-41982.08931035
tm        	0.03-0.98 	733.5054  	0.03      	7435.2939 	5106.90467225	5106.90467225	28.12585256	44.60922768	-21990.85753652	-15306.31292047	-37297.17045699	-26634.75215765	-15692.1836014	-42326.93575905
tm        	0.03-0.99 	366.7527  	0.03      	7511.1643 	5106.90467225	5106.90467225	28.26360436	44.73843411	-22168.7304932	-15444.00303409	-37612.73352729	-26839.12337145	-15832.95496009	-42672.07833154
tm        	0.03-1.0  	0.0       	0.03      	7587.0346 	5106.90467225	5106.90467225	28.40195063	44.86505641	-22347.02463221	-15581.69315494	-37928.71778715	-27043.78503458	-15973.72761299	-43017.51264757
cp        	0.04-0.0  	36420.272 	0.04      	0.0       	5106.90467225	5106.90467225	28.68978428	0         	-10055.42349987	-1843.01881669	-11898.44231655	-10573.55348603	-1970.70624518	-12544.2597312
tm        	0.04-0.01 	36056.0693	0.04      	75.3428   	5106.90467225	5106.90467225	28.55574896	0         	-10027.42508909	-1976.5303363	-12003.95542539	-10571.73863748	-2107.34946444	-12679.08810192
tm        	0.04-0.02 	35691.8666	0.04      	150.6857  	5106.90467225	5106.90467225	28.42171364	0         	-9999.4266783	-2110.31023179	-12109.73691009	-10580.68755375	-2244.16562865	-12824.8531824
tm        	0.04-0.03 	35327.6639	0.04      	226.0285  	5106.90467225	5106.90467225	28.28767832	0         	-9971.42826752	-2244.336234	-12215.76450152	-10600.48040544	-2381.14112314	-12981.62152858
tm        	0.04-0.04 	34963.4612	0.04      	301.3713  	5106.90467225	5106.90467225	28.15364299	0         	-9943.42985673	-2378.58908504	-12322.01894178	-10631.16295245	-2518.26408069	-13149.42703314
tm        	0.04-0.05 	34599.2584	0.04      	376.7141  	5106.90467225	5106.90467225	28.01960767	0         	-9915.43144596	-2513.051986	-12428.48343195	-10672.75766597	-2655.52407667	-13328.28174265
tm        	0.04-0.06 	34235.0557	0.04      	452.057   	5106.90467225	5106.90467225	27.88557235	0         	-9887.43303517	-2647.71017033	-12535.1432055	-10725.2780235	-2792.91189024	-13518.18991374
tm        	0.04-0.07 	33870.853 	0.04      	527.3998  	5106.90467225	5106.90467225	27.75153703	0         	-9864.95561487	-2782.55056915	-12647.50618402	-10788.67149111	-2930.41931485	-13719.09080596
tm        	0.04-0.08 	33506.6503	0.04      	602.7426  	5106.90467225	5106.90467225	27.61750171	0         	-9855.95945423	-2917.56154514	-12773.52099937	-10862.04371873	-3068.03900593	-13930.08272466
tm        	0.04-0.09 	33142.4476	0.04      	678.0854  	5106.90467225	5106.90467225	27.48346639	0         	-9858.99999445	-3052.73267854	-12911.732673	-10944.11182339	-3205.76435719	-14149.87618058
tm        	0.04-0.1  	32778.2448	0.04      	753.4283  	5106.90467225	5106.90467225	27.34943107	0         	-9872.73077026	-3188.05459301	-13060.78536327	-11033.82377851	-3343.58939908	-14377.4131776
tm        	0.04-0.11 	32414.0421	0.04      	828.7711  	5106.90467225	5106.90467225	27.21539574	0         	-9896.00951476	-3323.51881266	-13219.52832742	-11130.31339061	-3481.50871482	-14611.82210543
tm        	0.04-0.12 	32049.8394	0.04      	904.1139  	5106.90467225	5106.90467225	27.08136042	0         	-9927.86672598	-3459.11764364	-13386.98436962	-11232.86023663	-3619.51737022	-14852.37760685
tm        	0.04-0.13 	31685.6367	0.04      	979.4567  	5106.90467225	5106.90467225	26.9473251	0         	-9967.47609804	-3594.84407526	-13562.3201733	-11340.85907851	-3757.61085474	-15098.46993325
tm        	0.04-0.14 	31321.434 	0.04      	1054.7996 	5106.90467225	5106.90467225	26.81328978	0         	-10014.12930243	-3730.69169669	-13744.82099913	-11453.79656084	-3895.78503159	-15349.58159243
tm        	0.04-0.15 	30957.2312	0.04      	1130.1424 	5106.90467225	5106.90467225	26.67925446	0         	-10067.21528398	-3866.65462659	-13933.86991058	-11571.23336738	-4034.0360952	-15605.26946258
tm        	0.04-0.16 	30593.0285	0.04      	1205.4852 	5106.90467225	5106.90467225	26.54521914	0         	-10126.20351355	-4002.72745295	-14128.9309665	-11692.79044491	-4172.36053478	-15865.15097968
tm        	0.04-0.17 	30228.8258	0.04      	1280.828  	5106.90467225	5106.90467225	26.41118382	0         	-10190.63049682	-4138.90518166	-14329.53567848	-11818.13826526	-4310.75510294	-16128.8933682
tm        	0.04-0.18 	29864.6231	0.04      	1356.1709 	5106.90467225	5106.90467225	26.27714849	0         	-10260.08889305	-4275.18319208	-14535.27208513	-11946.98837253	-4449.21678851	-16396.20516105
tm        	0.04-0.19 	29500.4204	0.04      	1431.5137 	5106.90467225	5106.90467225	26.14311317	0         	-10334.21870409	-4411.55719863	-14745.77590272	-12079.08666359	-4587.74279291	-16666.8294565
tm        	0.04-0.2  	29136.2176	0.04      	1506.8565 	5106.90467225	5106.90467225	26.00907785	5.406e-05 	-10412.70010136	-4548.02321732	-14960.72331869	-12214.20799595	-4726.33050945	-16940.5385054
tm        	0.04-0.21 	28772.0149	0.04      	1582.1994 	5106.90467225	5106.90467225	25.87504253	0.34942402	-10495.24755102	-4684.57753651	-15179.82508753	-12352.15182188	-4864.97750525	-17217.12932714
tm        	0.04-0.22 	28407.8122	0.04      	1657.5422 	5106.90467225	5106.90467225	25.74100721	1.31801805	-10581.60497211	-4821.21669126	-15402.82166337	-12492.73862336	-5003.68150526	-17496.42012862
tm        	0.04-0.23 	28043.6095	0.04      	1732.885  	5106.90467225	5106.90467225	25.60697189	2.8250678 	-10671.54172077	-4957.90017144	-15629.44189221	-12635.8069778	-5142.43851466	-17778.24549246
tm        	0.04-0.24 	27679.4068	0.04      	1808.2278 	5106.90467225	5106.90467225	25.47293657	4.80326071	-10764.84923912	-5094.58777468	-15859.43701379	-12781.21112491	-5281.24467503	-18062.45579995
tm        	0.04-0.25 	27315.204 	0.04      	1883.5707 	5106.90467225	5106.90467225	25.33890124	6.90715684	-10861.33824188	-5231.27910546	-16092.61734734	-12928.81893494	-5420.09769213	-18348.91662708
tm        	0.04-0.26 	26951.0013	0.04      	1958.9135 	5106.90467225	5106.90467225	25.20486592	8.8492148 	-10960.83634108	-5367.97381583	-16328.81015691	-13078.51020105	-5558.99340273	-18637.50360378
tm        	0.04-0.27 	26586.7986	0.04      	2034.2563 	5106.90467225	5106.90467225	25.0708306	10.64741662	-11063.18602944	-5504.67159563	-16567.85762506	-13230.17519526	-5697.93002096	-18928.10521621
tm        	0.04-0.28 	26222.5959	0.04      	2109.5991 	5106.90467225	5106.90467225	24.93679528	12.31717546	-11168.24295946	-5641.37216775	-16809.61512721	-13383.71344023	-5836.90507408	-19220.61851431
tm        	0.04-0.29 	25858.3932	0.04      	2184.942  	5106.90467225	5106.90467225	24.80275996	13.87177851	-11275.8744676	-5778.07528413	-17053.94975173	-13539.03265913	-5975.91542265	-19514.94808177
tm        	0.04-0.3  	25494.1904	0.04      	2260.2848 	5106.90467225	5106.90467225	24.66872464	15.32274135	-11385.95830249	-5914.78072223	-17300.73902472	-13696.04787294	-6114.95989945	-19811.0077724
tm        	0.04-0.31 	25129.9877	0.04      	2335.6276 	5106.90467225	5106.90467225	24.53468932	16.68009369	-11498.3815244	-6051.48828201	-17549.86980641	-13854.68062118	-6254.03653175	-20108.71715294
tm        	0.04-0.32 	24765.785 	0.04      	2410.9704 	5106.90467225	5106.90467225	24.40065399	17.95261151	-11613.03954852	-6188.19778333	-17801.23733186	-14014.85828575	-6393.14260246	-20408.00088821
tm        	0.04-0.33 	24401.5823	0.04      	2486.3133 	5106.90467225	5106.90467225	24.26661867	19.14800704	-11729.83531022	-6324.9090637	-18054.74437392	-14176.51350206	-6532.27717593	-20708.79067799
tm        	0.04-0.34 	24037.3795	0.04      	2561.6561 	5106.90467225	5106.90467225	24.13258335	20.27308519	-11848.67853371	-6461.62197625	-18310.30050996	-14339.583644	-6671.43922112	-21011.02286511
tm        	0.04-0.35 	23673.1768	0.04      	2636.9989 	5106.90467225	5106.90467225	23.99854803	21.33387315	-11969.48508924	-6598.33638804	-18567.82147728	-14504.0103718	-6810.62620491	-21314.63657671
tm        	0.04-0.36 	23308.9741	0.04      	2712.3417 	5106.90467225	5106.90467225	23.86451271	22.33572845	-12092.17642592	-6735.05217855	-18827.22860446	-14669.7392337	-6949.83698822	-21619.57622192
tm        	0.04-0.37 	22944.7714	0.04      	2787.6846 	5106.90467225	5106.90467225	23.73047739	23.28342941	-12216.67906975	-6871.76923831	-19088.44830806	-14836.71931375	-7089.0709022	-21925.79021596
tm        	0.04-0.38 	22580.5687	0.04      	2863.0274 	5106.90467225	5106.90467225	23.59644207	24.18125137	-12342.92417803	-7008.48746783	-19351.41164586	-15004.9029196	-7228.32704527	-22233.22996487
tm        	0.04-0.39 	22216.3659	0.04      	2938.3702 	5106.90467225	5106.90467225	23.46240674	25.03303118	-12470.84714254	-7145.20677644	-19616.05391898	-15174.2453046	-7367.60328391	-22541.84858851
tm        	0.04-0.4  	21852.1632	0.04      	3013.7131 	5106.90467225	5106.90467225	23.33187184	25.842222 	-12600.38723512	-7281.9270815	-19882.31431662	-15344.70441998	-7506.89883516	-22851.60325514
tm        	0.04-0.41 	21487.9605	0.04      	3089.0559 	5106.90467225	5106.90467225	23.22364745	26.61194009	-12731.4872905	-7418.64830753	-20150.13559802	-15516.24069308	-7646.21319293	-23162.45388601
tm        	0.04-0.42 	21123.7578	0.04      	3164.3987 	5106.90467225	5106.90467225	23.13763383	27.34500495	-12864.09342142	-7555.37038551	-20419.46380693	-15688.81682845	-7785.54587101	-23474.36269945
tm        	0.04-0.43 	20759.5551	0.04      	3239.7415 	5106.90467225	5106.90467225	23.07096511	28.04397376	-12998.15476232	-7692.09325228	-20690.2480146	-15862.39762896	-7924.89543516	-23787.29306412
tm        	0.04-0.44 	20395.3523	0.04      	3315.0844 	5106.90467225	5106.90467225	23.02129066	28.71117126	-13133.62323818	-7828.81684993	-20962.44008811	-16036.94983453	-8064.26067352	-24101.21050805
tm        	0.04-0.45 	20031.1496	0.04      	3390.4272 	5106.90467225	5106.90467225	22.98665592	29.34871555	-13270.45335544	-7965.54112534	-21235.99448078	-16212.44197646	-8203.64120115	-24416.0831776
tm        	0.04-0.46 	19666.9469	0.04      	3465.77   	5106.90467225	5106.90467225	22.96541676	29.95854051	-13408.6020127	-8102.26602969	-21510.86804239	-16388.84424547	-8343.036649	-24731.88089447
tm        	0.04-0.47 	19302.7442	0.04      	3541.1128 	5106.90467225	5106.90467225	22.9561763	30.54241548	-13548.02832871	-8238.99151812	-21787.01984682	-16566.12837197	-8482.44666299	-25048.57503497
tm        	0.04-0.48 	18938.5415	0.04      	3616.4557 	5106.90467225	5106.90467225	22.95773737	31.10196232	-13688.69348599	-8375.7175493	-22064.41103529	-16744.26751723	-8621.87029106	-25366.13780829
tm        	0.04-0.49 	18574.3387	0.04      	3691.7985 	5106.90467225	5106.90467225	22.96906611	31.63867052	-13830.56058825	-8512.44408517	-22343.00467342	-16923.23617414	-8761.30633081	-25684.54250495
tm        	0.04-0.5  	18210.136 	0.04      	3767.1413 	5106.90467225	5106.90467225	22.98926355	32.15391038	-13973.5945302	-8649.17109061	-22622.76562081	-17103.01007671	-8900.75449232	-26003.76456903
tm        	0.04-0.51 	17845.9333	0.04      	3842.4841 	5106.90467225	5106.90467225	23.01754326	32.64894477	-14117.7618785	-8785.8985332	-22903.6604117	-17283.56611731	-9040.21450428	-26323.78062159
tm        	0.04-0.52 	17481.7306	0.04      	3917.827  	5106.90467225	5106.90467225	23.05321349	33.12493937	-14263.03076257	-8922.62638299	-23185.65714556	-17464.88227078	-9179.68610561	-26644.56837639
tm        	0.04-0.53 	17117.5279	0.04      	3993.1698 	5106.90467225	5106.90467225	23.09566265	33.58297191	-14409.3707745	-9059.35461225	-23468.72538675	-17646.9375249	-9319.16904491	-26966.10656981
tm        	0.04-0.54 	16753.3251	0.04      	4068.5126 	5106.90467225	5106.90467225	23.14434763	34.02404028	-14556.75287694	-9196.08319536	-23752.8360723	-17829.71181646	-9458.66258964	-27288.3744061
tm        	0.04-0.55 	16389.1224	0.04      	4143.8554 	5106.90467225	5106.90467225	23.19878406	34.4490698	-14705.14931834	-9332.81210854	-24037.96142688	-18013.18597236	-9598.16574167	-27611.35171403
tm        	0.04-0.56 	16024.9197	0.04      	4219.1983 	5106.90467225	5106.90467225	23.25853829	34.85891969	-14854.5335548	-9469.54132976	-24324.07488456	-18197.34165544	-9737.67829063	-27935.01994607
tm        	0.04-0.57 	15660.717 	0.04      	4294.5411 	5106.90467225	5106.90467225	23.3232207	35.25438889	-15004.88017793	-9606.27083857	-24611.15101651	-18382.16131432	-9877.20004324	-28259.36135756
tm        	0.04-0.58 	15296.5143	0.04      	4369.8839 	5106.90467225	5106.90467225	23.39248009	35.63622122	-15156.16484806	-9743.00061601	-24899.16546407	-18567.62813719	-10016.73081292	-28584.35895011
tm        	0.04-0.59 	14932.3115	0.04      	4445.2268 	5106.90467225	5106.90467225	23.46599886	36.00511008	-15308.36423252	-9879.7306444	-25188.09487692	-18753.72600893	-10156.27041945	-28909.99642839
tm        	0.04-0.6  	14568.1088	0.04      	4520.5696 	5106.90467225	5106.90467225	23.543489 	36.36170264	-15461.45594834	-10016.46090735	-25477.91685569	-18940.4394714	-10295.8186887	-29236.2581601
tm        	0.04-0.61 	14203.9061	0.04      	4595.9124 	5106.90467225	5106.90467225	23.62468863	36.70660365	-15615.4185091	-10153.1913896	-25768.6098987	-19127.75368659	-10435.37515802	-29563.12884461
tm        	0.04-0.62 	13839.7034	0.04      	4671.2552 	5106.90467225	5106.90467225	23.709359 	37.04037881	-15770.23127555	-10289.92207692	-26060.15335247	-19315.65440239	-10574.93893741	-29890.5933398
tm        	0.04-0.63 	13475.5007	0.04      	4746.5981 	5106.90467225	5106.90467225	23.79728193	37.36355794	-15925.87440963	-10426.65295606	-26352.52736569	-19504.12792075	-10714.5098529	-30218.63777365
tm        	0.04-0.64 	13111.2979	0.04      	4821.9409 	5106.90467225	5106.90467225	23.88825761	37.67663772	-16082.32883167	-10563.38401468	-26645.71284634	-19693.16106802	-10854.08777044	-30547.24883846
tm        	0.04-0.65 	12747.0952	0.04      	4897.2837 	5106.90467225	5106.90467225	23.98210263	37.98008428	-16239.57618048	-10700.11524123	-26939.69142172	-19882.74116726	-10993.67256024	-30876.4137275
tm        	0.04-0.66 	12382.8925	0.04      	4972.6265 	5106.90467225	5106.90467225	24.07864833	38.27433549	-16397.59877609	-10836.84662498	-27234.44540107	-20072.85601251	-11133.26409655	-31206.12010906
tm        	0.04-0.67 	12018.6898	0.04      	5047.9694 	5106.90467225	5106.90467225	24.17773926	38.55980307	-16556.37958492	-10973.57815587	-27529.95774079	-20263.49384461	-11272.86225754	-31536.35610215
tm        	0.04-0.68 	11654.4871	0.04      	5123.3122 	5106.90467225	5106.90467225	24.27923194	38.83687456	-16715.90218725	-11110.3098245	-27826.21201175	-20454.6433287	-11412.46692507	-31867.11025377
