type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.54-0.51 	11598.4333	0.54      	2497.3082 	5106.90467225	5106.90467225	8.43679576	23.36186125	-6363.38178243	-8510.01377153	-14873.39555396	-7854.36028516	-9223.16274079	-17077.52302595
tm        	0.54-0.52 	11361.7306	0.54      	2546.2751 	5106.90467225	5106.90467225	8.65959099	23.69871408	-6456.29845492	-8584.55583959	-15040.85429451	-7971.56164556	-9303.46193236	-17275.02357791
tm        	0.54-0.53 	11125.0279	0.54      	2595.2419 	5106.90467225	5106.90467225	8.88239164	24.03586448	-6550.24499083	-8659.2981622	-15209.54315304	-8089.45074011	-9383.89975534	-17473.35049545
tm        	0.54-0.54 	10888.3251	0.54      	2644.2087 	5106.90467225	5106.90467225	9.10519727	24.37329593	-6645.17964298	-8734.2344928	-15379.41413578	-8208.00068027	-9464.47185387	-17672.47253414
tm        	0.54-0.55 	10651.6224	0.54      	2693.1755 	5106.90467225	5106.90467225	9.3280075 	24.71099309	-6741.06349904	-8809.35889981	-15550.42239886	-8327.18632162	-9545.17409354	-17872.36041516
tm        	0.54-0.56 	10414.9197	0.54      	2742.1424 	5106.90467225	5106.90467225	9.55082197	25.04894173	-6837.86021175	-8884.665745	-15722.52595675	-8446.98410643	-9626.00254609	-18072.98665252
tm        	0.54-0.57 	10178.217 	0.54      	2791.1092 	5106.90467225	5106.90467225	9.77364038	25.38712862	-6935.53576192	-8960.14966367	-15895.68542559	-8567.37192446	-9706.95347532	-18274.32539978
tm        	0.54-0.58 	9941.5143 	0.54      	2840.076  	5106.90467225	5106.90467225	9.99646242	25.72554143	-7034.05824961	-9035.80554659	-16069.86379619	-8688.3289892	-9788.02332432	-18476.35231353
tm        	0.54-0.59 	9704.8115 	0.54      	2889.0429 	5106.90467225	5106.90467225	10.21928784	26.06416868	-7133.39770933	-9111.62852334	-16245.02623267	-8809.83572777	-9869.2087037	-18679.04443147
tm        	0.54-0.6  	9468.1088 	0.54      	2938.0097 	5106.90467225	5106.90467225	10.44211642	26.40299964	-7233.52594583	-9187.6139471	-16421.13989294	-8931.87368233	-9950.50638078	-18882.38006311
tm        	0.54-0.61 	9231.4061 	0.54      	2986.9765 	5106.90467225	5106.90467225	10.66494793	26.74202429	-7334.41638788	-9263.75738062	-16598.17376849	-9054.42542184	-10031.91326976	-19086.3386916
tm        	0.54-0.62 	8994.7034 	0.54      	3035.9433 	5106.90467225	5106.90467225	10.88778218	27.08123326	-7436.04395737	-9340.05458325	-16776.09854062	-9177.47446266	-10113.42642249	-19290.90088515
tm        	0.54-0.63 	8758.0007 	0.54      	3084.9102 	5106.90467225	5106.90467225	11.110619 	27.42061778	-7538.3849521	-9416.50149911	-16954.88645121	-9301.00519698	-10195.04302019	-19496.04821717
tm        	0.54-0.64 	8521.2979 	0.54      	3133.877  	5106.90467225	5106.90467225	11.33345822	27.76016961	-7641.4169402	-9493.09424601	-17134.51118621	-9425.00282818	-10276.76036556	-19701.76319373
tm        	0.54-0.65 	8284.5952 	0.54      	3182.8438 	5106.90467225	5106.90467225	11.55629969	28.09988104	-7745.11866507	-9569.8291053	-17314.94777036	-9549.45331221	-10358.57587569	-19908.0291879
tm        	0.54-0.66 	8047.8925 	0.54      	3231.8106 	5106.90467225	5106.90467225	11.77914327	28.43974481	-7849.46995931	-9646.70251243	-17496.17247174	-9674.34330446	-10440.48707539	-20114.83037985
tm        	0.54-0.67 	7811.1898 	0.54      	3280.7775 	5106.90467225	5106.90467225	12.00198885	28.7797541	-7954.45166681	-9723.71104822	-17678.16271503	-9799.66011132	-10522.49159104	-20322.15170236
tm        	0.54-0.68 	7574.4871 	0.54      	3329.7443 	5106.90467225	5106.90467225	12.22483629	29.11990248	-8060.04557193	-9800.8514307	-17860.89700263	-9925.39164607	-10604.58714488	-20529.97879096
tm        	0.54-0.69 	7337.7843 	0.54      	3378.7111 	5106.90467225	5106.90467225	12.44768551	29.46018392	-8166.23433507	-9878.12050762	-18044.35484269	-10051.5263886	-10686.77154969	-20738.29793829
