type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	0.0001    	0.8075    	3485.3808 	5106.90467225	5106.90467225	8.31183758	32.1223505	-6173.25395425	-11671.20836681	-17844.46232107
tm        	0.0001    	0.7929    	3562.8337 	5106.90467225	5106.90467225	9.14836277	32.29581642	-6470.2643053	-11690.30482958	-18160.56913488
tm        	0.0001    	0.7782    	3640.2866 	5106.90467225	5106.90467225	9.95217877	32.49540104	-6768.46305807	-11711.57321664	-18480.03627471
tm        	0.0001    	0.7635    	3717.7395 	5106.90467225	5106.90467225	10.72399069	32.72136438	-7067.67108078	-11734.95196105	-18802.62304183
tm        	0.0001    	0.7488    	3795.1924 	5106.90467225	5106.90467225	11.4648084	32.97409063	-7367.74387969	-11760.38585238	-19128.12973207
tm        	0.0001    	0.7341    	3872.6453 	5106.90467225	5106.90467225	12.17581366	33.25409  	-7668.56353461	-11787.82547917	-19456.38901378
tm        	0.0001    	0.7194    	3950.0982 	5106.90467225	5106.90467225	12.85827474	33.56200199	-7970.03280662	-11817.2267502	-19787.25955682
tm        	0.0001    	0.7048    	4027.5511 	5106.90467225	5106.90467225	13.51349131	33.89860035	-8272.07075933	-11848.55048382	-20120.62124314
tm        	0.0001    	0.6901    	4105.004  	5106.90467225	5106.90467225	14.14275881	34.26479946	-8574.60945564	-11881.76205651	-20456.37151215
tm        	0.0001    	0.6754    	4182.4569 	5106.90467225	5106.90467225	14.74734579	34.66166261	-8877.59143173	-11916.83110346	-20794.42253519
tm        	0.0001    	0.6607    	4259.9098 	5106.90467225	5106.90467225	15.32847974	35.07434907	-9180.96776033	-11953.73125103	-21134.69901136
tm        	0.0001    	0.646     	4337.3627 	5106.90467225	5106.90467225	15.88733863	35.47303326	-9484.69644519	-11992.43996124	-21477.13640643
tm        	0.0001    	0.6313    	4414.8157 	5106.90467225	5106.90467225	16.42504646	35.85772854	-9788.74132372	-12032.93827081	-21821.67959453
tm        	0.0001    	0.6167    	4492.2686 	5106.90467225	5106.90467225	16.94267123	36.22915846	-10093.07102567	-12075.21070799	-22168.28173366
tm        	0.0001    	0.602     	4569.7215 	5106.90467225	5106.90467225	17.44122474	36.58799753	-10397.65821452	-12119.24516873	-22516.90338325
tm        	0.0001    	0.5873    	4647.1744 	5106.90467225	5106.90467225	17.92166351	36.93487531	-10702.47895671	-12165.0328374	-22867.51179411
tm        	0.0001    	0.5726    	4724.6273 	5106.90467225	5106.90467225	18.38489053	37.27038004	-11007.51220614	-12212.56813626	-23220.0803424
tm        	0.0001    	0.5579    	4802.0802 	5106.90467225	5106.90467225	18.83175729	37.59506204	-11312.7393799	-12261.84870305	-23574.58808296
tm        	0.0001    	0.5433    	4879.5331 	5106.90467225	5106.90467225	19.26306628	37.90943667	-11618.14400701	-12312.8753967	-23931.01940372
